bus_name,voltage_pu,angle_degree,p_mw,q_mvar
Glen Lyn 132,1.06,0.0,-128.68783339477335,-8108.7632437895945
Claytor  132,1.043,0.2866089599852661,-0.18300000000000569,-1237.0025297625066
Kumis    132,1.0359843604822903,0.3665296621725755,0.023999999999999994,0.01200000000000001
Hancock  132,1.0304850591987287,0.4759371013480756,0.07600000000000001,0.016000000000000014
Fieldale 132,1.01,0.7813629638774653,0.9420000000000002,3885.3921202820206
Roanoke  132,1.0209539200124054,0.626325007882041,0.0,0.0
Blaine   132,1.0164354177061383,0.6798703861739865,0.22799999999999998,0.10899999999999999
Reusens  132,1.0100000000000002,0.8039531989236801,0.30000000000000004,5330.863305325014
Roanoke  1.0,1.020957577388386,0.6263162519813621,0.0,0.0
Roanoke   33,1.0223909922515027,0.634550174862101,0.05800000000000005,-0.1786038347970323
Roanoke   11,1.0819999999999999,0.4616085255719546,0.0,-0.317559931269642
Hancock   33,1.0339230098438594,0.46048198147818836,0.1120000000000001,0.07499999999999996
Hancock   11,1.0709999999999995,0.31370732320681965,0.0,-308.911105525611
Bus 14    33,1.0323676017173522,0.46773521718456657,0.06199999999999983,0.016000000000000014
Bus 15    33,1.0309243428248784,0.5095094458854201,0.08199999999999985,0.025000000000000022
Bus 16    33,1.0290522117645005,0.5579811251275317,0.03500000000000014,0.018000000000000016
Bus 17    33,1.0244339700779101,0.6023450554442417,0.08999999999999986,0.05799999999999994
Bus 18    33,1.0279213211307185,0.5543081387785598,0.03200000000000003,0.009000000000000008
Bus 19    33,1.0261476712173994,0.5814156509286679,0.0950000000000002,0.03399999999999992
Bus 20    33,1.0252183300940017,0.5962435234474629,0.021999999999999797,0.006999999999999895
Bus 21    33,1.02263994398876,0.6296474944434016,0.17499999999999982,0.11199999999999988
Bus 22    33,1.0227227797262548,0.6281325055193242,0.0,0.0
Bus 23    33,1.0278553862177129,0.548798119765678,0.03200000000000003,0.016000000000000014
Bus 24    33,1.023767065176014,0.6007408367285381,0.08700000000000019,0.021931742839218282
Bus 25    33,1.0206206627198304,0.643222131903079,0.0,0.0
Bus 26    33,1.0206047877769986,0.6428458969773451,0.03500000000000014,0.02299999999999991
Cloverdle 33,1.0186583116841126,0.6658308281514301,0.0,0.0
Cloverdle132,1.0184552937538713,0.6630084650805969,0.0,0.0
Bus 29    33,1.0186409405842476,0.6647127221617841,0.02400000000000002,0.008999999999999897
Bus 30    33,1.0186308489986147,0.6639344267313521,0.10599999999999987,0.018999999999999906
